Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
20	Sun	2021-05-09	17:30 (10:30)	Le Havre	0–2	Paris S-G		Stade Océane	Vanessa Cruchon	Match Report	
											
21	Fri	2021-05-21	20:45 (13:45)	Le Havre	1–0	Paris FC		Stade Océane	Emeline Rochebiliere	Match Report	
21	Fri	2021-05-21	20:45 (13:45)	Stade de Reims	0–4	Paris S-G		Stade Auguste-Delaune II	Maika Vanderstichel	Match Report	
21	Fri	2021-05-21	20:45 (13:45)	Bordeaux	0–1	Lyon		Stade Jean-Antoine Moueix	Alexandra Collin	Match Report	
21	Fri	2021-05-21	20:45 (13:45)	Montpellier	2–1	Soyaux		Stade Bernard Gasset Terrain n°7	Savina Elbour	Match Report	
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
21	Fri	2021-05-21	20:45 (13:45)	Fleury	3–1	Issy		Stade Auguste Gentelet	Gabrielle Guillot	Match Report	
21	Fri	2021-05-21	20:45 (13:45)	Dijon	2–1	Guingamp		Stade des Poussots 1	Victoria Beyer	Match Report	
											
16	Sun	2021-05-30	21:00 (14:00)	Lyon	0–0	Paris S-G		Groupama Stadium	Stéphanie Frappart	Match Report	
											
22	Fri	2021-06-04	20:45 (13:45)	Paris S-G	3–0	Dijon		Stade Jean-Bouin	Victoria Beyer	Match Report	
22	Fri	2021-06-04	20:45 (13:45)	Lyon	8–0	Fleury		Groupama OL Academy Décines-Charpieu 	Savina Elbour	Match Report	
22	Sat	2021-06-05	14:30 (07:30)	Issy	1–2	Stade de Reims		Stade Le Gallo	Justine Catania	Match Report	
22	Sat	2021-06-05	14:30 (07:30)	Guingamp	4–2	Bordeaux		Stade Centre Formation EAG 1	Charlène Laur	Match Report	
22	Sat	2021-06-05	14:30 (07:30)	Paris FC	2–0	Montpellier		Stade Robert Bobin	Vanessa Cruchon	Match Report	
22	Sat	2021-06-05	14:30 (07:30)	Soyaux	3–0	Le Havre		Stade Léo Lagrange	Gabrielle Guillot	Match Report
