Wk 	Day 	Date 	Time 	Home 	xG 	Score 	xG 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
16	Sat	2022-03-05	14:30 (07:30)	Hellas Verona	0.3	0–1	1.7	Empoli		Stadio Comunale Umberto Capone	Andrea Calzavara	Match Report	
16	Sun	2022-03-06	12:30 (05:30)	Lazio	1.4	3–1	2.4	Sassuolo		Centro Sportivo di Formello - Campo Aqui...	Fabio Luongo	Match Report	
16	Sun	2022-03-06	14:30 (07:30)	Milan	0.9	1–1	0.6	Napoli		Centro Sportivo Peppino Vismara	Francesco Burlando	Match Report	
16	Sun	2022-03-06	14:30 (07:30)	Internazionale	0.5	0–1	0.5	ASD Calcio Pomigliano		Centro Sportivo Giacinto Facchetti	Gioiele Iacobellis	Match Report	
													
17	Sat	2022-03-19	12:30 (06:30)	Napoli	0.4	0–2	3.2	Juventus		Stadio Giuseppe Piccolo	Davide Di Marco	Match Report	
17	Sat	2022-03-19	14:30 (08:30)	AS Roma	1.4	1–1	1.1	Milan		Stadio Tre Fontane	Luca Angelucci	Match Report	
17	Sat	2022-03-19	14:30 (08:30)	Empoli	0.6	1–1	1.3	Sassuolo		Stadio Comunale di Petroio	Andrea Bordin	Match Report	
17	Sun	2022-03-20	12:30 (06:30)	Fiorentina	3.1	6–0	0.5	Hellas Verona		Stadio Comunale Gino Bozzi	Roberto Lovison	Match Report	
17	Sun	2022-03-20	14:30 (08:30)	Internazionale	2.4	4–3	1.0	UC Sampdoria		Centro Sportivo Giacinto Facchetti	Kateryna Monzul	Match Report	
													
18	Sat	2022-03-26	12:30 (06:30)	Hellas Verona	1.2	2–0	1.1	ASD Calcio Pomigliano		Stadio Comunale Umberto Capone	Bogdan Sfira	Match Report	
18	Sat	2022-03-26	14:30 (08:30)	Sassuolo	0.5	0–3	2.1	AS Roma		Stadio Enzo Ricci	Stefano Nicolini	Match Report	
18	Sat	2022-03-26	14:30 (08:30)	Lazio	0.3	0–0	0.9	Empoli		Centro Sportivo di Formello - Campo Aqui...	Dario Madonia	Match Report	
18	Sun	2022-03-27	12:30 (05:30)	Milan	1.2	2–0	0.4	Fiorentina		Centro Sportivo Peppino Vismara	Mario Saia	Match Report	
