Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
											
20	Sun	2018-05-13	11:00 (04:00)	MSV Duisburg	2–0	Hoffenheim	565	PCC-Stadion	Sandra Stolz	Match Report	
20	Sun	2018-05-13	11:00 (04:00)	USV Jena	0–1	Sand	327	Ernst-Abbe-Sportfeld	Franziska Wildfeuer	Match Report	
20	Sun	2018-05-13	11:00 (04:00)	FFC Frankfurt	1–2	Freiburg	1,230	Stadion am Brentanobad	Karoline Wacker	Match Report	
20	Sun	2018-05-13	14:00 (07:00)	Turbine Potsdam	4–2	Köln	1,181	Karl-Liebknecht-Stadion	Miriam Schweinefuss	Match Report	
20	Sun	2018-05-13	14:00 (07:00)	Wolfsburg	2–0	Essen	2,218	AOK Stadion	Christine Weigelt 	Match Report	
20	Sun	2018-05-13	16:00 (09:00)	Werder Bremen	2–7	Bayern Munich	580	Weserstadion Platz 11	Sina Diekmann	Match Report	
											
Wk 	Day 	Date 	Time 	Home 	Score 	Away 	Attendance 	Venue 	Referee 	Match Report 	Notes
21	Sun	2018-05-27	14:00 (07:00)	Hoffenheim	0–4	Turbine Potsdam	860	Dietmar-Hopp-Stadion	Sina Diekmann	Match Report	
21	Sun	2018-05-27	14:00 (07:00)	Essen	3–1	FFC Frankfurt	1,275	Sportpark Am Hallo	Hanna Schlemmer	Match Report	
21	Sun	2018-05-27	14:00 (07:00)	Sand	4–0	MSV Duisburg	532	Orsay Stadion	Fabienne Michel	Match Report	
21	Sun	2018-05-27	14:00 (07:00)	Bayern Munich	2–1	Wolfsburg	2,130	FC Bayern Campus Platz 1	Karoline Wacker	Match Report	
21	Sun	2018-05-27	14:00 (07:00)	USV Jena	0–4	Freiburg	364	Ernst-Abbe-Sportfeld	Marina Wozniak	Match Report	
21	Sun	2018-05-27	14:00 (07:00)	Köln	0–2	Werder Bremen	370	Südstadion	Katrin Rafalski	Match Report	
											
22	Sun	2018-06-03	14:00 (07:00)	Wolfsburg	0–0	Köln	2,923	AOK Stadion	Ines Appelmann	Match Report	
22	Sun	2018-06-03	14:00 (07:00)	Freiburg	1–1	Essen	1,783	Möslestadion	Melissa Joos	Match Report	
22	Sun	2018-06-03	14:00 (07:00)	MSV Duisburg	1–0	USV Jena	1,092	PCC-Stadion	Riem Hussein	Match Report	
22	Sun	2018-06-03	14:00 (07:00)	Werder Bremen	0–4	Hoffenheim	350	Weserstadion Platz 11	Franziska Wildfeuer	Match Report	
22	Sun	2018-06-03	14:00 (07:00)	FFC Frankfurt	0–1	Bayern Munich	1,910	Stadion am Brentanobad	Susann Kunkel	Match Report	
22	Sun	2018-06-03	14:00 (07:00)	Turbine Potsdam	3–1	Sand	1,627	Karl-Liebknecht-Stadion	Laura Duske	Match Report	
