Date,Team,PTS,,Opp,PTS,,OT,Notes
Thu Apr 26 2012,Laboral Kutxa,89,,FC Barcelona Regal,97,,,
Thu Apr 26 2012,Lagun Aro GBC,63,,Mad-Croc Fuenlabrada,71,,,
Thu Apr 26 2012,Unicaja,64,,FIATC Mutua Joventut,80,,,
Thu Apr 26 2012,Real Madrid,96,,Assignia Manresa,93,,,
Thu Apr 26 2012,Lucentum Alicante,82,,UCAM Murcia,78,,,
Sun Apr 29 2012,FC Barcelona Regal,83,,Lucentum Alicante,57,,,
Sun Apr 29 2012,Asefa Estudiantes,75,,Assignia Manresa,78,,,
Sun Apr 29 2012,UCAM Murcia,79,,Real Madrid,80,,,
Sun Apr 29 2012,Gescrap Bizkaia,77,,Lagun Aro GBC,76,,,
Sun Apr 29 2012,Mad-Croc Fuenlabrada,65,,Unicaja,79,,,
Sun Apr 29 2012,Gran Canaria 2014,62,,Valencia Basket,77,,,
Sun Apr 29 2012,Blu:sens Monbús,75,,Blancos de Rueda Valladolid,81,,,
Sun Apr 29 2012,FIATC Mutua Joventut,68,,Laboral Kutxa,66,,,
Sun Apr 29 2012,Banca Cívica,59,,CAI Zaragoza,65,,,
Wed May 2 2012,Laboral Kutxa,92,,Mad-Croc Fuenlabrada,87,,,
Wed May 2 2012,Lucentum Alicante,63,,FIATC Mutua Joventut,74,,,
Wed May 2 2012,Assignia Manresa,60,,UCAM Murcia,78,,,
Wed May 2 2012,Valencia Basket,62,,Blu:sens Monbús,76,,,
Thu May 3 2012,Real Madrid,83,,FC Barcelona Regal,86,,,
Thu May 3 2012,Unicaja,83,,Gescrap Bizkaia,80,,,
Thu May 3 2012,CAI Zaragoza,62,,Gran Canaria 2014,72,,,
Thu May 3 2012,Lagun Aro GBC,65,,Banca Cívica,61,,,
Thu May 3 2012,Asefa Estudiantes,79,,Blancos de Rueda Valladolid,68,,,
Sun May 6 2012,Mad-Croc Fuenlabrada,55,,Lucentum Alicante,66,,,
Sun May 6 2012,UCAM Murcia,86,,Asefa Estudiantes,80,,,
Sun May 6 2012,FC Barcelona Regal,77,,Assignia Manresa,71,,,
Sun May 6 2012,CAI Zaragoza,84,,Blu:sens Monbús,89,,9OT,
Sun May 6 2012,FIATC Mutua Joventut,82,,Real Madrid,95,,,
Sun May 6 2012,Gran Canaria 2014,78,,Lagun Aro GBC,93,,,
Sun May 6 2012,Banca Cívica,66,,Unicaja,75,,,
Sun May 6 2012,Blancos de Rueda Valladolid,59,,Valencia Basket,76,,,
Sun May 6 2012,Gescrap Bizkaia,70,,Laboral Kutxa,100,,,
