Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
18,Sat,2019-03-16,15:00 (09:00),Sassuolo,1–1,Tavagnacco,200,Stadio Città del Tricolore,Giorgio Bozzetto,Match Report,
18,Sat,2019-03-16,15:00 (09:00),Atalanta,4–0,Orobica Calcio,300,Stadio Comunale,Giuseppe Rispoli,Match Report,
18,Sun,2019-03-17,12:30 (06:30),AC Milan,1–0,Florentia,300,Stadio Franco Ossola,Luca Bergamin,Match Report,
,,,,,,,,,,,
19,Sat,2019-03-23,14:30 (08:30),Florentia,3–0,Pink Bari,150,Stadio Goffredo Del Buffa,Frank Tchato,Match Report,
19,Sat,2019-03-23,15:00 (09:00),Orobica Calcio,0–1,AC Milan,200,Stadio Centro Sportivo Flaminio,Ivan Catallo,Match Report,
19,Sat,2019-03-23,15:00 (09:00),AGSM Verona,2–3,Sassuolo,150,Stadio AGSM Olivieri,Eugenio Scarpa,Match Report,
19,Sat,2019-03-23,15:00 (09:00),Tavagnacco,3–2,ChievoVerona,200,Stadio Comunale di Tavagnacco,Marino Rinaldi,Match Report,
19,Sun,2019-03-24,12:30 (06:30),AS Roma,0–3,Atalanta,200,Stadio Tre Fontane,Valerio Crezzini,Match Report,
19,Sun,2019-03-24,15:00 (09:00),Juventus,1–0,Fiorentina,"39,000",Allianz Stadium,Davide Di Marco,Match Report,
,,,,,,,,,,,
20,Wed,2019-03-27,15:00 (09:00),AC Milan,4–1,AS Roma,200,Centro Sportivo Peppino Vismara,Andrea Bordin,Match Report,
20,Wed,2019-03-27,15:00 (09:00),Tavagnacco,1–0,AGSM Verona,100,Stadio Comunale di Tavagnacco,Simone Galipò,Match Report,
20,Wed,2019-03-27,15:00 (09:00),Sassuolo,2–1,Juventus,300,Stadio Città del Tricolore,Stefano Nicolini,Match Report,
20,Sat,2019-03-30,15:00 (09:00),Pink Bari,4–1,Orobica Calcio,150,Stadio Antonio Antonacci,Giuseppe Vingo,Match Report,
20,Sat,2019-03-30,15:00 (09:00),ChievoVerona,2–2,Atalanta,150,Stadio AGSM Olivieri,Lucas Baldelli,Match Report,
20,Sun,2019-03-31,12:30 (05:30),Fiorentina,4–2,Florentia,300,Stadio Comunale Gino Bozzi,Marco Sicurello,Match Report,
,,,,,,,,,,,
21,Sat,2019-04-13,15:00 (08:00),ChievoVerona,0–1,AGSM Verona,600,Stadio AGSM Olivieri,Niccolò Turrini,Match Report,
21,Sat,2019-04-13,15:00 (08:00),Atalanta,0–2,AC Milan,"1,000",Stadio Comunale,Roberto Lovison,Match Report,
21,Sat,2019-04-13,15:00 (08:00),Orobica Calcio,0–2,Fiorentina,200,Stadio Giacinto Facchetti,Daniele Virgilio,Match Report,
21,Sat,2019-04-13,15:00 (08:00),Florentia,1–1,Sassuolo,200,Stadio Goffredo Del Buffa,Luca De Angeli,Match Report,
21,Sat,2019-04-13,15:00 (08:00),AS Roma,1–1,Pink Bari,150,Stadio Olimpico,Gianluca Grasso,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
21,Sun,2019-04-14,12:30 (05:30),Juventus,5–0,Tavagnacco,500,Juventus Training Center,Alberto Arena,Match Report,
,,,,,,,,,,,
22,Sat,2019-04-20,12:30 (05:30),Fiorentina,2–1,AS Roma,500,Stadio Comunale Gino Bozzi,Gabriele Scatena,Match Report,
22,Sat,2019-04-20,12:30 (05:30),AC Milan,1–2,ChievoVerona,300,Centro Sportivo Peppino Vismara,Valerio Crezzini,Match Report,
22,Sat,2019-04-20,12:30 (05:30),AGSM Verona,0–3,Juventus,"1,000",Stadio AGSM Olivieri,Michele Delrio,Match Report,
22,Sat,2019-04-20,12:30 (05:30),Pink Bari,2–3,Atalanta,300,Stadio Antonio Antonacci,Julio Milan Silvera,Match Report,
22,Sat,2019-04-20,15:00 (08:00),Tavagnacco,2–3,Florentia,200,Stadio Comunale di Tavagnacco,Andrea Calzavara,Match Report,
22,Sat,2019-04-20,15:00 (08:00),Sassuolo,3–0,Orobica Calcio,200,Stadio Città del Tricolore,Bogdan Sfira,Match Report,
